team,avg_lap_time,latitude,longitude,circuitType,precipitation,windspeed,temp,race_condition
Lotus F1,94.17679999999999,47.5789,19.2486,Race circuit,0.02,8.3,80.8,Damp
Manor Marussia,96.04369999999999,47.5789,19.2486,Race circuit,0.02,8.3,80.8,Damp
Sauber,94.5436,47.5789,19.2486,Race circuit,0.02,8.3,80.8,Damp
Mercedes,116.69058333333332,50.4372,5.97139,Race circuit,0.0,9.2,66.9,Dry
Force India,116.9345,50.4372,5.97139,Race circuit,0.0,9.2,66.9,Dry
Red Bull,117.76441666666666,50.4372,5.97139,Race circuit,0.0,9.2,66.9,Dry
Williams,118.42563636363639,50.4372,5.97139,Race circuit,0.0,9.2,66.9,Dry
Ferrari,118.432,50.4372,5.97139,Race circuit,0.0,9.2,66.9,Dry
Lotus F1,130.95137499999998,50.4372,5.97139,Race circuit,0.0,9.2,66.9,Dry
Sauber,120.4519,50.4372,5.97139,Race circuit,0.0,9.2,66.9,Dry
Toro Rosso,143.84390000000002,50.4372,5.97139,Race circuit,0.0,9.2,66.9,Dry
McLaren,121.52199999999998,50.4372,5.97139,Race circuit,0.0,9.2,66.9,Dry
Manor Marussia,122.8243,50.4372,5.97139,Race circuit,0.0,9.2,66.9,Dry
Mercedes,89.101,45.6156,9.28111,Race circuit,0.335,6.3,67.6,Wet
Ferrari,90.70027272727272,45.6156,9.28111,Race circuit,0.335,6.3,67.6,Wet
Williams,89.6015,45.6156,9.28111,Race circuit,0.335,6.3,67.6,Wet
Force India,90.6675,45.6156,9.28111,Race circuit,0.335,6.3,67.6,Wet
Lotus F1,117.499,45.6156,9.28111,Race circuit,0.335,6.3,67.6,Wet
Sauber,93.99454545454546,45.6156,9.28111,Race circuit,0.335,6.3,67.6,Wet
McLaren,93.23659999999998,45.6156,9.28111,Race circuit,0.335,6.3,67.6,Wet
Toro Rosso,94.5201,45.6156,9.28111,Race circuit,0.335,6.3,67.6,Wet
Red Bull,93.1514,45.6156,9.28111,Race circuit,0.335,6.3,67.6,Wet
Manor Marussia,94.6559,45.6156,9.28111,Race circuit,0.335,6.3,67.6,Wet
Ferrari,112.8555,1.2914,103.864,Street circuit,0.157,6.0,86.4,Wet
Red Bull,113.5925,1.2914,103.864,Street circuit,0.157,6.0,86.4,Wet
Mercedes,114.6482,1.2914,103.864,Street circuit,0.157,6.0,86.4,Wet
Williams,115.30839999999998,1.2914,103.864,Street circuit,0.157,6.0,86.4,Wet
Force India,115.7773,1.2914,103.864,Street circuit,0.157,6.0,86.4,Wet
McLaren,116.7432,1.2914,103.864,Street circuit,0.157,6.0,86.4,Wet
Toro Rosso,129.24950000000004,1.2914,103.864,Street circuit,0.157,6.0,86.4,Wet
Lotus F1,117.0069,1.2914,103.864,Street circuit,0.157,6.0,86.4,Wet
Sauber,116.96990000000001,1.2914,103.864,Street circuit,0.157,6.0,86.4,Wet
Manor Marussia,120.28449999999998,1.2914,103.864,Street circuit,0.157,6.0,86.4,Wet
Mercedes,100.28099999999999,34.8431,136.541,Race circuit,0.02,2.2,71.8,Damp
Ferrari,100.80930000000001,34.8431,136.541,Race circuit,0.02,2.2,71.8,Damp
Williams,113.96889999999999,34.8431,136.541,Race circuit,0.02,2.2,71.8,Damp
Lotus F1,101.96670000000002,34.8431,136.541,Race circuit,0.02,2.2,71.8,Damp
Force India,105.0223,34.8431,136.541,Race circuit,0.02,2.2,71.8,Damp
McLaren,103.94219999999999,34.8431,136.541,Race circuit,0.02,2.2,71.8,Damp
Toro Rosso,103.583,34.8431,136.541,Race circuit,0.02,2.2,71.8,Damp
Sauber,103.7322,34.8431,136.541,Race circuit,0.02,2.2,71.8,Damp
Manor Marussia,106.165,34.8431,136.541,Race circuit,0.02,2.2,71.8,Damp
Red Bull,110.614,34.8431,136.541,Race circuit,0.02,2.2,71.8,Damp
Mercedes,127.01933333333335,43.4057,39.9578,Race circuit,0.0,6.7,55.6,Dry
Ferrari,127.80891666666666,43.4057,39.9578,Race circuit,0.0,6.7,55.6,Dry
Williams,130.3897272727273,43.4057,39.9578,Race circuit,0.0,6.7,55.6,Dry
Force India,128.23266666666666,43.4057,39.9578,Race circuit,0.0,6.7,55.6,Dry
Red Bull,128.61358333333334,43.4057,39.9578,Race circuit,0.0,6.7,55.6,Dry
Lotus F1,134.4478,43.4057,39.9578,Race circuit,0.0,6.7,55.6,Dry
McLaren,131.4850909090909,43.4057,39.9578,Race circuit,0.0,6.7,55.6,Dry
Sauber,128.91716666666667,43.4057,39.9578,Race circuit,0.0,6.7,55.6,Dry
Manor Marussia,135.7414,43.4057,39.9578,Race circuit,0.0,6.7,55.6,Dry
Toro Rosso,135.63150000000002,43.4057,39.9578,Race circuit,0.0,6.7,55.6,Dry
Mercedes,122.80483333333332,30.1328,-97.6411,Race circuit,3.642,18.3,68.2,Wet
Red Bull,122.83983333333333,30.1328,-97.6411,Race circuit,3.642,18.3,68.2,Wet
Force India,122.16059999999997,30.1328,-97.6411,Race circuit,3.642,18.3,68.2,Wet
Ferrari,122.22829999999999,30.1328,-97.6411,Race circuit,3.642,18.3,68.2,Wet
Toro Rosso,122.42949999999999,30.1328,-97.6411,Race circuit,3.642,18.3,68.2,Wet
McLaren,131.22150000000002,30.1328,-97.6411,Race circuit,3.642,18.3,68.2,Wet
Sauber,134.402,30.1328,-97.6411,Race circuit,3.642,18.3,68.2,Wet
Williams,140.97150000000002,30.1328,-97.6411,Race circuit,3.642,18.3,68.2,Wet
Lotus F1,130.53940000000003,30.1328,-97.6411,Race circuit,3.642,18.3,68.2,Wet
Manor Marussia,148.94216666666668,30.1328,-97.6411,Race circuit,3.642,18.3,68.2,Wet
